"osm_id";"ref_insee"
-2155510;"240300616"
-1643640;"773"
-155514;"39329"
-190827;"38042"
-3081389;"52303"
-85866;"67285"
-1773118;"61258"
-536792;"27212"
-418788;"52253"
-2332920;"65480"
-254681;"34209"
-2741711;"80804"
-1102312;"61035"
-3334586;"71060"
-122143;"07302"
-1370769;"242504413"
-1074395;"18057"
-272391;"49262"
-1664320;"33370"
-1785630;"61186"
-1531772;"71332"
-1140988;"67075"
-145628;"21598"
-365373;"04112"
-2524225;"64004"
-1919383;"244500476"
-389876;"68216"
-2963576;"55453"
-372793;"67312"
-288741;"62827"
-139628;"59154"
-1843140;"09006"
-2979218;"55113"
-932979;"67328"
-2153446;"246900617"
-1340509;"33412"
-2995930;"10432"
-1984380;"11005"
-147136;"25571"
-107539;"72270"
-413193;"77368"
-2673492;"76637"
-2963196;"55379"
-1813124;"65364"
-118103;"07090"
-3211037;"89184"
-2700003;"28217"
-1106284;"50182"
-938778;"88334"
-58040;"59304"
-155709;"17234"
-71194;"28394"
-2077725;"09320"
-398682;"38414"
-74339;"73010"
-2966757;"55328"
-2141759;"64433"
-145404;"24103"
-384755;"30011"
-154536;"17426"
-150165;"79180"
-1984063;"09282"
-144782;"21321"
-1404717;"77223"
-118659;"43190"
-18375;"66048"
-3081115;"52328"
-374133;"16382"
-206545;"60537"
-174648;"10030"
-1978162;"09038"
-170070;"85272"
-86780;"35327"
-3012290;"76146"
-1538255;"76286"
-2600071;"2A128"
-90398;"26370"
-74566;"33021"
-232873;"14571"
-76189;"84024"
-2443353;"57085"
-74021;"02175"
-2703907;"248300535"
-2178623;"62410"
-150316;"79198"
-1188419;"62612"
-2456352;"54288"
-280529;"14694"
-551838;"27311"
-1662891;"862"
-1246348;"88122"
-126307;"31037"
-2144177;"83020"
-123491;"46194"
-2197063;"03285"
-139294;"86202"
-107448;"72096"
-1453925;"31564"
-935093;"88392"
-134086;"14498"
-110019;"76302"
-60632;"68283"
-2177952;"11395"
-178338;"62907"
-173716;"44221"
-171963;"14237"
-1299138;"77078"
-158783;"39206"
-274303;"41292"
-145111;"01393"
-74135;"02353"
-1843973;"09162"
-107523;"72291"
-2674904;"62044"
-1155978;"62293"
-1571468;"81253"
-3328412;"27498"
-158782;"39490"
-1066942;"50360"
-415695;"02255"
-387015;"22294"
-69650;"67121"
-1083851;"89388"
-286396;"62657"
-147346;"01013"
-945587;"02336"
-1181424;"78072"
-1966747;"40170"
-151694;"21574"
-76326;"37050"
-2961414;"54071"
-3244820;"24310"
-2964142;"55428"
-2696482;"248800336"
-167003;"38011"
-1125925;"69145"
-89090;"67263"
-153440;"02525"
-3244065;"24075"
-1268206;"16296"
-3006423;"76289"
-3326415;"61198"
-153797;"21106"
-961044;"56258"
-3234489;"24041"
-160885;"31057"
-104435;"73099"
-1621657;"37216"
-93872;"44012"
-85956;"38565"
-2915703;"62450"
-118781;"23050"
-386285;"30332"
-123561;"25547"
-1948870;"11040"
-2060654;"11278"
-147384;"44103"
-1948185;"10004"
-106298;"76489"
-167109;"37110"
-2067317;"47078"
-3006174;"76180"
-2848743;"15044"
-1376090;"06058"
-1240307;"27094"
-1998187;"243500543"
-274366;"41204"
-54762;"59537"
-106752;"57007"
-2944695;"89440"
-938052;"88019"
-147221;"01378"
-1401992;"77454"
-1265392;"39021"
-167797;"38490"
-150505;"02390"
-107548;"72172"
-3163284;"27589"
-124369;"03321"
-3256242;"80060"
-2101016;"09055"
-156743;"21131"
-241086;"62329"
-88920;"54116"
-911944;"71112"
-123473;"46327"
-2452671;"57756"
-150045;"79145"
-2012014;"11268"
-117263;"40070"
-53806;"59475"
-1440786;"54218"
-127321;"21712"
-903829;"67329"
-120189;"57260"
-107603;"72355"
